ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,27814,10,pgxc,10.92.9.245,54843,2015-08-21 14:32:10.70486-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.844276-04,f,Remote Subplan,active,2015-08-21 14:42:24.338629-04
946684800,27815,10,pgxc,10.87.8.227,54830,2015-08-21 14:32:10.705239-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.853625-04,f,Remote Subplan,active,2015-08-21 14:42:24.340885-04
946684800,27817,10,pgxc,10.87.8.227,54848,2015-08-21 14:32:10.779615-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.726819-04,f,Remote Subplan,active,2015-08-21 14:42:24.275798-04
946684800,27820,10,pgxc,10.92.9.245,54888,2015-08-21 14:32:10.862787-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.64803-04,f,Remote Subplan,active,2015-08-21 14:42:24.292696-04
946684800,27821,10,pgxc,10.92.9.245,54889,2015-08-21 14:32:10.870093-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.676301-04,f,Remote Subplan,active,2015-08-21 14:42:24.335958-04
946684800,27825,10,pgxc,10.87.8.227,54880,2015-08-21 14:32:10.882132-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.600293-04,f,Remote Subplan,active,2015-08-21 14:42:24.26938-04
946684800,27826,10,pgxc,10.87.3.232,37944,2015-08-21 14:32:10.885812-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.637936-04,f,Remote Subplan,active,2015-08-21 14:42:24.293414-04
946684800,27827,10,pgxc,10.87.3.232,37945,2015-08-21 14:32:10.886069-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.626587-04,f,Remote Subplan,active,2015-08-21 14:42:24.280704-04
946684800,27829,10,pgxc,10.87.8.227,54887,2015-08-21 14:32:10.919394-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.387604-04,f,Remote Subplan,active,2015-08-21 14:42:24.078099-04
946684800,27832,10,pgxc,10.92.9.245,54932,2015-08-21 14:32:11.022085-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.208961-04,f,Remote Subplan,active,2015-08-21 14:42:24.09275-04
